GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Vertx Management Endpoints,uk.co.spudsoft.mgmt,ThreadDumpRoute,20,153,3,11,8,38,3,9,0,5
Vertx Management Endpoints,uk.co.spudsoft.mgmt,InFlightRoute,6,196,1,3,2,41,1,8,0,7
Vertx Management Endpoints,uk.co.spudsoft.mgmt,HeapDumpRoute,19,173,1,15,7,49,2,16,1,9
Vertx Management Endpoints,uk.co.spudsoft.mgmt,LogbackMgmtRoute,32,386,5,23,13,97,5,24,0,15
